GEOID,cGrade,dGrade,cdGrade,ALAND,totalPop,totalPop_m,white,white_m,black,black_m,otherRace,medianInc,medianInc_m,poverty,poverty_m,povertyB,povertyB_m,medicaid,house,house_m,tanf,tanf_m,tanfProp,snap,snap_m,snapProp,own,own_m,ownProp,rent,rent_m,rentProp,unins.x,unins_ml.x,unins_mh.x,asthma,asthma_ml,asthma_mh,obesity,obesity_ml,obesity_mh,dental,dental_ml,dental_mh,unins.y,unins_ml.y,unins_mh.y
29510112100,179756.3042420803,0,179756.3042420803,6936664,4556,456,3092,371,1057,384,407,55313,9238,623,200,250,157,374,2409,221,31,36,0.012868410128684102,162,107,0.06724782067247821,954,168,0.3960149439601494,1455,263,0.6039850560398505,9.7,8.3,11.5,8.6,8.3,9,25.7,24.8,26.6,69.1,65.9,71.8,9.7,8.3,11.5
29510116500,871518.8361115456,0,871518.8361115456,904024,4723,637,2067,328,1932,540,724,39299,9235,1080,399,597,302,745,1947,130,37,31,0.019003595274781716,371,112,0.19054956343091936,712,121,0.3656908063687725,1235,153,0.6343091936312275,16.9,14.2,19.8,10.3,9.7,10.9,34.1,32.6,35.4,52.7,48.6,56.5,16.9,14.2,19.8
29510110300,662827.9280822501,147370.39006449655,810198.3181467466,938287,2018,354,50,42,1968,366,0,19728,5056,642,325,599,322,728,934,109,68,47,0.0728051391862955,396,102,0.42398286937901497,366,103,0.39186295503211993,568,129,0.6081370449678801,23.1,19.4,26.7,12.5,11.8,13.4,44.5,43,45.9,40.4,36.3,44.8,23.1,19.4,26.7
29510103700,129862.88757544756,0,129862.88757544756,910953,2572,312,2282,278,154,193,136,50781,5670,222,80,0,11,209,1260,94,33,34,0.02619047619047619,76,45,0.06031746031746032,806,103,0.6396825396825396,454,102,0.3603174603174603,11.3,8.8,14,8.6,8.2,9.2,27.3,25.7,29,67.5,62.9,71.9,11.3,8.8,14
29510103800,486604.8391733505,0,486604.8391733505,1640334,3837,252,3340,272,283,203,214,67260,11213,147,81,7,5,326,1731,85,11,14,0.006354708261120739,81,41,0.04679376083188908,1284,90,0.7417677642980935,447,98,0.2582322357019064,10.5,8.8,12.4,8.8,8.4,9.3,27,25.8,28.2,67.3,63.6,70.9,10.5,8.8,12.4
29510104500,650626.5279101729,0,650626.5279101729,1939712,1685,245,1285,202,132,94,268,53750,13522,247,116,1,2,104,940,123,32,36,0.03404255319148936,102,57,0.10851063829787234,391,84,0.41595744680851066,549,121,0.5840425531914893,11.5,9.6,13.7,8.6,8.2,9.1,26.6,25.5,27.8,66.1,62.7,69.4,11.5,9.6,13.7
29510106100,962295.803494066,0,962295.803494066,962321,1830,211,29,22,1796,208,5,18005,3314,771,210,757,208,679,789,80,25,17,0.031685678073510776,333,70,0.4220532319391635,301,60,0.38149556400506973,488,74,0.6185044359949303,29,24.4,33.7,13.6,12.6,14.7,47.7,46.2,49.1,31.3,27.3,35.6,29,24.4,33.7
29510105500,254281.7966413051,0,254281.7966413051,1195555,2806,416,100,87,2667,423,39,36316,8411,735,297,721,297,456,1080,139,15,19,0.013888888888888888,285,98,0.2638888888888889,527,99,0.487962962962963,553,138,0.5120370370370371,20.6,17.2,24.1,12.3,11.6,13.2,42.8,41.3,44.4,47.8,43.6,52.3,20.6,17.2,24.1
29510105200,0,0,0,831271,3020,260,1199,209,1488,245,333,50056,6151,401,135,188,95,468,1476,97,39,46,0.026422764227642278,264,100,0.17886178861788618,535,98,0.3624661246612466,941,113,0.6375338753387534,13,10.6,15.8,9.7,9.2,10.3,31.1,29.7,32.6,59.1,54.9,62.9,13,10.6,15.8
29510105300,161.13595621287823,0,161.13595621287823,958213,2528,330,240,183,2167,307,121,23246,4399,709,218,659,195,580,1159,114,44,41,0.03796376186367558,458,109,0.39516824849007764,414,89,0.3572044866264021,745,122,0.642795513373598,20.1,16.2,24.9,12.1,11.2,13,42.8,40.9,44.7,41.8,36.6,47,20.1,16.2,24.9
