GEOID,ALAND,cGrade,dGrade,cdGrade,totalPop,totalPop_m,house,house_m,white,white_m,whiteProp,black,black_m,blackProp,otherRace,otherRaceProp,dissim,medianInc,medianInc_m,poverty,poverty_m,povertyProp,povertyB,povertyB_m,povertyBProp,medicaid,medicaidProp,tanf,tanf_m,tanfProp,snap,snap_m,snapProp,own,own_m,ownProp,rent,rent_m,rentProp,unins,unins_ml,unins_mh,uninsProp,asthma,asthma_ml,asthma_mh,asthmaProp,obesity,obesity_ml,obesity_mh,obesityProp,dental,dental_ml,dental_mh,dentalProp
29510112100,6936664,179756.3042420803,0,179756.3042420803,4556,456,2409,221,3092,371,0.6786654960491659,1057,384,0.2320017559262511,407,0.08933274802458296,0.014455778221965428,55313,9238,623,200,0.13674275680421422,250,157,0.05487269534679543,374,0.08208955223880597,31,36,0.012868410128684102,162,107,0.06724782067247821,954,168,0.3960149439601494,1455,263,0.6039850560398505,9.7,8.3,11.5,0.09699999999999999,8.6,8.3,9,0.086,25.7,24.8,26.6,0.257,69.1,65.9,71.8,0.691
29510116500,904024,871518.8361115456,0,871518.8361115456,4723,637,1947,130,2067,328,0.4376455642600042,1932,540,0.4090620368409909,724,0.15329239889900487,0.0015684151738385253,39299,9235,1080,399,0.2286682193521067,597,302,0.126402710141859,745,0.15773872538640696,37,31,0.019003595274781716,371,112,0.19054956343091936,712,121,0.3656908063687725,1235,153,0.6343091936312275,16.9,14.2,19.8,0.16899999999999998,10.3,9.7,10.9,0.10300000000000001,34.1,32.6,35.4,0.341,52.7,48.6,56.5,0.527
29510110300,938287,662827.9280822501,147370.39006449655,810198.3181467466,2018,354,934,109,50,42,0.024777006937561942,1968,366,0.9752229930624381,0,0,-0.012654405293461797,19728,5056,642,325,0.31813676907829536,599,322,0.2968285431119921,728,0.3607532210109019,68,47,0.0728051391862955,396,102,0.42398286937901497,366,103,0.39186295503211993,568,129,0.6081370449678801,23.1,19.4,26.7,0.231,12.5,11.8,13.4,0.125,44.5,43,45.9,0.445,40.4,36.3,44.8,0.40399999999999997
29510103700,910953,129862.88757544756,0,129862.88757544756,2572,312,1260,94,2282,278,0.8872472783825817,154,193,0.059875583203732506,136,0.05287713841368585,0.014805028657493582,50781,5670,222,80,0.08631415241057543,0,11,0,209,0.0812597200622084,33,34,0.02619047619047619,76,45,0.06031746031746032,806,103,0.6396825396825396,454,102,0.3603174603174603,11.3,8.8,14,0.113,8.6,8.2,9.2,0.086,27.3,25.7,29,0.273,67.5,62.9,71.9,0.675
29510103800,1640334,486604.8391733505,0,486604.8391733505,3837,252,1731,85,3340,272,0.870471722700026,283,203,0.07375553818087047,214,0.055772739119103465,0.02128853272817384,67260,11213,147,81,0.03831118060985145,7,5,0.0018243419338024498,326,0.08496221005994266,11,14,0.006354708261120739,81,41,0.04679376083188908,1284,90,0.7417677642980935,447,98,0.2582322357019064,10.5,8.8,12.4,0.105,8.8,8.4,9.3,0.08800000000000001,27,25.8,28.2,0.27,67.3,63.6,70.9,0.6729999999999999
29510104500,1939712,650626.5279101729,0,650626.5279101729,1685,245,940,123,1285,202,0.7626112759643917,132,94,0.07833827893175074,268,0.15905044510385757,0.008037604056861172,53750,13522,247,116,0.14658753709198813,1,2,5.934718100890207e-4,104,0.06172106824925816,32,36,0.03404255319148936,102,57,0.10851063829787234,391,84,0.41595744680851066,549,121,0.5840425531914893,11.5,9.6,13.7,0.115,8.6,8.2,9.1,0.086,26.6,25.5,27.8,0.266,66.1,62.7,69.4,0.6609999999999999
29510106100,962321,962295.803494066,0,962295.803494066,1830,211,789,80,29,22,0.015846994535519125,1796,208,0.9814207650273225,5,0.00273224043715847,-0.011663736556876447,18005,3314,771,210,0.42131147540983604,757,208,0.41366120218579233,679,0.37103825136612023,25,17,0.031685678073510776,333,70,0.4220532319391635,301,60,0.38149556400506973,488,74,0.6185044359949303,29,24.4,33.7,0.29,13.6,12.6,14.7,0.136,47.7,46.2,49.1,0.47700000000000004,31.3,27.3,35.6,0.313
29510105500,1195555,254281.7966413051,0,254281.7966413051,2806,416,1080,139,100,87,0.03563791874554526,2667,423,0.9504632929436921,39,0.013898788310762652,-0.01692549002565731,36316,8411,735,297,0.26193870277975767,721,297,0.2569493941553813,456,0.16250890947968638,15,19,0.013888888888888888,285,98,0.2638888888888889,527,99,0.487962962962963,553,138,0.5120370370370371,20.6,17.2,24.1,0.20600000000000002,12.3,11.6,13.2,0.12300000000000001,42.8,41.3,44.4,0.428,47.8,43.6,52.3,0.478
29510105200,831271,0,0,0,3020,260,1476,97,1199,209,0.3970198675496689,1488,245,0.49271523178807947,333,0.11026490066225166,-0.0015167459054775245,50056,6151,401,135,0.13278145695364238,188,95,0.06225165562913907,468,0.15496688741721854,39,46,0.026422764227642278,264,100,0.17886178861788618,535,98,0.3624661246612466,941,113,0.6375338753387534,13,10.6,15.8,0.13,9.7,9.2,10.3,0.09699999999999999,31.1,29.7,32.6,0.311,59.1,54.9,62.9,0.591
29510105300,958213,161.13595621287823,0,161.13595621287823,2528,330,1159,114,240,183,0.0949367088607595,2167,307,0.8571993670886076,121,0.04786392405063291,-0.012651670472697172,23246,4399,709,218,0.28045886075949367,659,195,0.26068037974683544,580,0.22943037974683544,44,41,0.03796376186367558,458,109,0.39516824849007764,414,89,0.3572044866264021,745,122,0.642795513373598,20.1,16.2,24.9,0.201,12.1,11.2,13,0.121,42.8,40.9,44.7,0.428,41.8,36.6,47,0.418
29510105400,721535,20029.07668547146,0,20029.07668547146,2361,340,876,90,292,176,0.12367640830156713,1840,291,0.7793307920372723,229,0.09699279966116052,-0.01013088422164133,28235,7384,704,186,0.2981787378229564,480,147,0.20330368487928843,832,0.35239305379076663,21,21,0.023972602739726026,363,87,0.4143835616438356,121,43,0.13812785388127855,755,86,0.8618721461187214,25,21.6,28.2,0.25,12.1,11.3,12.9,0.121,41.2,39.8,42.4,0.41200000000000003,41.7,37.9,45.5,0.41700000000000004
29510104200,1129711,210405.7320752144,0,210405.7320752144,3281,245,1756,118,2825,232,0.8610179823224626,120,81,0.0365742151782993,336,0.10240780249923803,0.01879456536461626,56797,7444,411,151,0.12526668698567509,57,57,0.017372752209692168,154,0.046936909478817436,5,8,0.0028473804100227792,98,58,0.05580865603644647,819,108,0.4664009111617312,937,136,0.5335990888382688,9.6,7.7,12.3,0.096,8.3,7.9,8.9,0.083,24.8,23.2,26.3,0.248,68.4,63.6,72.2,0.684
29510103600,1372431,763303.7401982917,0,763303.7401982917,1317,152,612,50,1147,132,0.8709187547456341,37,28,0.02809415337889142,133,0.10098709187547457,0.007708365367447291,42353,13564,271,122,0.20577069096431283,0,11,0,198,0.15034168564920272,20,22,0.032679738562091505,133,55,0.2173202614379085,452,55,0.738562091503268,160,41,0.26143790849673204,14.1,11.3,17.5,0.141,9.7,9.1,10.3,0.09699999999999999,31,29.3,32.6,0.31,62.2,57.5,66.8,0.622
29510105198,1176519,0,0,0,3534,337,1625,118,2545,323,0.72014714204867,606,239,0.17147707979626486,383,0.10837577815506508,0.01364253442929557,55793,6297,853,246,0.24136955291454443,103,93,0.029145444255800793,177,0.0500848896434635,27,27,0.016615384615384615,95,62,0.05846153846153846,790,89,0.48615384615384616,835,108,0.5138461538461538,9.5,8.3,11.2,0.095,8.6,8.3,8.9,0.086,24.1,23.3,25.1,0.24100000000000002,69.7,67.1,71.9,0.6970000000000001
29510106500,1064143,776012.0808362365,0,776012.0808362365,2712,471,1013,147,123,61,0.04535398230088496,2548,438,0.93952802359882,41,0.015117994100294985,-0.01597987533811717,28050,6432,564,263,0.2079646017699115,546,259,0.2013274336283186,814,0.3001474926253687,66,64,0.06515301085883514,414,143,0.40868706811451133,421,109,0.4155972359328727,592,143,0.5844027640671273,24.4,21.5,27.1,0.244,12,11.5,12.6,0.12,45.2,44,46.3,0.452,38.6,35.5,41.7,0.386
29510106600,854848,852063.7401728407,0,852063.7401728407,1770,288,672,81,48,47,0.02711864406779661,1650,299,0.9322033898305084,72,0.04067796610169491,-0.01056748759716872,17717,4457,730,229,0.4124293785310734,700,230,0.3954802259887006,638,0.36045197740112994,61,49,0.09077380952380952,448,90,0.6666666666666666,266,66,0.3958333333333333,406,98,0.6041666666666666,30.6,27.5,34.2,0.306,14,13.2,14.8,0.14,48.3,47.3,49.4,0.483,31.9,28.9,35.3,0.319
29510106300,1017130,336153.8952018544,0,336153.8952018544,1407,229,565,74,13,13,0.00923951670220327,1356,220,0.9637526652452025,38,0.02700781805259417,-0.00886792726462816,26103,4302,363,156,0.2579957356076759,355,155,0.2523098791755508,481,0.34186211798152094,6,9,0.010619469026548672,224,68,0.39646017699115044,259,68,0.4584070796460177,306,78,0.5415929203539823,22.8,19.6,26.1,0.228,12.7,12,13.5,0.127,44.1,42.8,45.2,0.441,34.7,31.4,38.2,0.34700000000000003
