GEOID,cGrade,dGrade,cdGrade,ALAND
29510112100,179756.3042420803,0,179756.3042420803,6936664
29510116500,871518.8361115456,0,871518.8361115456,904024
29510110300,662827.9280822501,147370.39006449655,810198.3181467466,938287
29510103700,129862.88757544756,0,129862.88757544756,910953
29510103800,486604.8391733505,0,486604.8391733505,1640334
29510104500,650626.5279101729,0,650626.5279101729,1939712
29510106100,962295.803494066,0,962295.803494066,962321
29510105500,254281.7966413051,0,254281.7966413051,1195555
29510105200,0,0,0,831271
29510105300,161.13595621287823,0,161.13595621287823,958213
29510105400,20029.07668547146,0,20029.07668547146,721535
29510104200,210405.7320752144,0,210405.7320752144,1129711
29510103600,763303.7401982917,0,763303.7401982917,1372431
29510105198,0,0,0,1176519
29510106500,776012.0808362365,0,776012.0808362365,1064143
29510106600,852063.7401728407,0,852063.7401728407,854848
29510106300,336153.8952018544,0,336153.8952018544,1017130
29510107200,0,0,0,655395
29510106700,561402.1589219198,0,561402.1589219198,1238491
29510107400,0,0,0,1085096
29510107500,0,0,0,911762
29510107600,0,0,0,1145923
29510111100,4235.378049582243,1086631.9471917152,1090867.3252412975,1090869
29510111200,459216.6958462745,588246.2658213489,1047462.9616676234,1047465
29510111300,197829.1528178528,753292.4795977995,951121.6324156523,951121
29510111400,613361.9182999134,298148.7925931886,911510.710893102,911511
29510111500,336209.9042258854,452133.79713959247,788343.7013654779,788344
29510112200,581877.9572199136,0,581877.9572199136,695233
29510115400,256216.79341511428,0,256216.79341511428,978835
29510115500,936593.4480214119,256081.49271512032,1192674.9407365322,1215464
29510115600,2070.4632110595703,1237898.9628724034,1239969.426083463,1833609
29510119200,1717.4746746718884,730441.5727285296,732159.0474032015,733653
29510119300,244229.28685370833,662448.0244448185,906677.3112985268,1179813
29510120200,451211.19412359595,128217.54974719882,579428.7438707948,579429
29510114200,5604.240164548159,0,5604.240164548159,1512784
29510114300,0,0,0,1366902
29510115100,3966.999598841765,0,3966.999598841765,1145336
29510110400,881374.0077753216,3836.9318165779114,885210.9395918995,885207
29510110500,353228.37578510493,0,353228.37578510493,1246967
29510110100,539375.932510063,1167.757867872715,540543.6903779358,993991
29510110200,16.447855703532696,0,16.447855703532696,777755
29510112300,845861.7403075434,0,845861.7403075434,851908
29510116100,0,0,0,765176
29510116200,12489.552193606272,0,12489.552193606272,2348413
29510116400,996377.1480983889,0,996377.1480983889,1003959
29510107300,232148.50442422554,0,232148.50442422554,1574577
29510118400,0,252212.28411781788,252212.28411781788,1448165
29510118600,597287.3563970476,373960.6169998646,971247.9733969122,2737927
29510113500,1246969.1009661257,0,1246969.1009661257,1797198
29510117100,226501.85626183264,4378.769357919693,230880.62561975233,1083049
29510115700,419844.16205859184,216484.17993557453,636328.3419941664,958989
29510121200,0,857714.7735599801,857714.7735599801,857714
29510121100,14.949927184730768,688127.9744704887,688142.9243976735,1098514
29510115200,544786.1807357669,0,544786.1807357669,1348424
29510108200,0,0,0,816932
29510108300,0,0,0,748498
29510112400,5638.883205361664,511.1688614785671,6150.052066840231,938415
29510115300,925.1274100542068,0,925.1274100542068,1654581
29510117200,305091.62173080444,59841.507427215576,364933.12915802,1267634
29510109700,577528.7806082368,0,577528.7806082368,3545652
29510106200,697254.2262898535,0,697254.2262898535,1078872
29510109600,0,0,0,2906394
29510118100,28515.045831002295,575516.9562373795,604032.0020683818,1563757
29510117400,39100.18230819702,0,39100.18230819702,1146088
29510126700,529445.8524961919,466633.7955839634,996079.6480801553,2246811
29510119102,40493.4926905632,241925.4126471877,282418.9053377509,581750
29510126800,1349587.4006211217,0,1349587.4006211217,2792747
29510126900,372006.17517502233,0,372006.17517502233,4336781
29510127000,0,0,0,10530448
29510127400,0,1487229.6852960214,1487229.6852960214,3313716
29510123100,184090.8317967467,627965.4378268719,812056.2696236186,1031109
29510126600,0,1924882.176714424,1924882.176714424,3250755
29510114102,0,0,0,1586580
29510116302,8044.583298206329,0,8044.583298206329,616467
29510116301,0,0,0,645676
29510119101,490394.9123350587,0,490394.9123350587,506383
29510114101,614.8282073661685,0,614.8282073661685,949541
29510127100,1221.1199137568474,1740197.2044789747,1741418.3243927315,1741414
29510127200,938719.5193129629,0,938719.5193129629,2019032
29510127300,384642.7457780838,1407239.6262636185,1791882.3720417023,2140371
29510127500,0,1010271.4977314478,1010271.4977314478,1779256
29510127600,0,2443733.782794833,2443733.782794833,2970225
29510106400,25942.27262943983,0,25942.27262943983,1106529
29510125600,0,0,0,2158590
29510125700,0,389354.8261850178,389354.8261850178,1306149
29510123300,106188.59991527628,811805.3984932601,917993.9984085364,917993
29510124100,563189.2726608664,416282.45030653477,979471.7229674011,1053217
29510124200,349842.9972166121,447648.60653853416,797491.6037551463,797492
29510124300,0,920684.7872084677,920684.7872084677,1168451
29510123200,160605.33881436288,952670.7825473249,1113276.1213616878,1113277
29510124600,0,894690.1984196156,894690.1984196156,2151491
